i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65
0,TCGA-05-5420-01A-01R-1628-07,4.620082137610293e-07,0.0010488406279491424,4.620085452550194e-07,0.4784339002203722,4.620156402981142e-07,4.6200706362118017e-07,4.62026637450595e-07,4.6200395878512653e-07,4.620068830646953e-07,4.620158210275564e-07,0.010348262588087857,4.620003713233702e-07,4.620102297159709e-07,4.6201569983307296e-07,0.0010269540749900125,0.005265037270304722,4.6203140415639873e-07,4.620096358451257e-07,0.3287963586270368,4.6203859728591345e-07,4.620061743057441e-07,4.6200982306475205e-07,4.62019127318101e-07,4.6200461836589844e-07,4.620377095651797e-07,4.6200735255719836e-07,4.620022271838083e-07,4.620018821451655e-07,4.620168920522398e-07,4.6201110649059225e-07,4.6200686351363707e-07,4.620071966184029e-07,4.620070485903229e-07,4.620133166370309e-07,0.0990210347423804,4.6200802050089093e-07,0.07125363699144789,4.62020831778315e-07,4.620095577812339e-07,4.6200891191098786e-07,4.620096774400357e-07,4.620133518706977e-07,0.0037667351864066746,4.620026100961006e-07,0.0010137761643625955,4.6201733504070705e-07,4.6200383778239933e-07,4.6199989285493917e-07,4.620046785094779e-07,4.620003719931513e-07,4.619991148363141e-07,4.620043343091149e-07,5.093642285863872e-07,4.620098566098495e-07,4.620027950658892e-07,4.6200830677022214e-07,4.6213086782169887e-07,4.620155450061269e-07,4.620059294942769e-07,4.674553595274774e-07,4.620136541191035e-07,4.620153912237036e-07,4.6201831698725616e-07,4.620034155749617e-07,4.6201042854311404e-07
1,TCGA-55-7283-01A-11R-2039-07,4.978421736089284e-07,0.0027754794859125606,4.978427322405261e-07,0.3426328191222045,4.978464013162055e-07,4.978404764717805e-07,4.978715887388929e-07,4.978355793584035e-07,4.978376944529204e-07,4.978525061193699e-07,0.02018997735055441,4.97833395950136e-07,4.978361163154334e-07,4.97843354612131e-07,0.0034543708135999765,0.02819982824038219,4.978697509033931e-07,4.978394680899296e-07,0.24841234319170144,4.978801044272039e-07,4.978388067710242e-07,4.978392824882368e-07,4.978852796473818e-07,4.978392728568339e-07,4.978785439443277e-07,4.978411527209581e-07,4.978368164270154e-07,4.978355060447914e-07,4.978537199321393e-07,4.97842421604861e-07,4.978411065861573e-07,4.978422628162054e-07,4.978411922604013e-07,4.978421744913674e-07,0.04463286318527273,4.978417075618879e-07,0.2789178679741524,4.978577013931972e-07,4.978421015060272e-07,4.978426988501663e-07,4.978393455417541e-07,4.978496843459651e-07,0.027092553334973717,4.978345193535299e-07,0.00366450385035952,4.978530747946723e-07,4.978363212525836e-07,4.978327554919344e-07,4.978393861493876e-07,4.978323575119867e-07,4.978328281583589e-07,4.978372846133134e-07,5.0960302338103e-07,4.978429527046848e-07,4.978361558349348e-07,4.978409638380558e-07,4.979890656273399e-07,4.978540683362518e-07,4.978381446366543e-07,4.979140005037051e-07,4.978508810616748e-07,4.978480309553931e-07,4.978550141048156e-07,4.978344547900451e-07,4.978434829449086e-07
2,TCGA-55-8208-01A-11R-2241-07,4.0101475489161404e-07,0.00021101461242473512,4.0101573891452265e-07,0.3690701924222424,4.0101782699315844e-07,4.010161285262271e-07,4.0104137038503374e-07,4.010131995358983e-07,4.0101237891834186e-07,4.0102180373880395e-07,0.0077637305797172065,4.010150409571274e-07,4.010104420242749e-07,4.010157764350157e-07,0.00024625538829078285,0.0033351850579267624,4.0103222446357357e-07,4.0101291485003187e-07,0.11362540758661774,4.0103893065807375e-07,4.010122201605923e-07,4.0101200602693796e-07,4.0127377808076977e-07,4.010159427766537e-07,4.0103762657314025e-07,4.010133757856526e-07,4.0101095272022087e-07,4.0101006510786106e-07,4.010227828790251e-07,4.010170044238469e-07,4.010129600923337e-07,4.010142873660197e-07,4.010139985034977e-07,4.010142275194599e-07,0.2392694129960687,4.0101420853766203e-07,0.2525864180452075,4.0102598369128733e-07,4.0101630794105453e-07,4.0101703351281705e-07,4.010126616319209e-07,4.010178658251119e-07,0.013578778587933023,4.010090497848485e-07,0.00028042834279774493,4.010228801163923e-07,4.010113042741289e-07,4.010083958826352e-07,4.010141592527879e-07,4.0101670231369016e-07,4.0101062731222647e-07,4.01012865686996e-07,1.1521395729654819e-05,4.010154732740462e-07,4.010098708256856e-07,4.010104634460074e-07,4.010956258726299e-07,4.01022294891223e-07,4.0101482345856107e-07,4.007565942388295e-07,4.010199291672299e-07,4.010198219439937e-07,4.010236800662409e-07,4.0101022383721904e-07,4.010164375992053e-07
3,TCGA-75-6205-01A-11R-1755-07,5.53470860484378e-07,1.9577974935914834e-06,5.534719360971746e-07,0.6389821407239973,5.534754751495474e-07,5.534707900866534e-07,5.53497812608072e-07,5.534655048718498e-07,5.534667345823328e-07,5.534758535983545e-07,0.014427673670966819,5.534636385534403e-07,5.534672467306767e-07,5.534730016912694e-07,2.460246656296543e-06,0.0005576014599180493,5.534857114753523e-07,5.534694014320221e-07,0.02465860414237935,5.534968882819634e-07,5.534676860165662e-07,5.534686699169985e-07,5.535167833970954e-07,5.534723451752525e-07,5.534970760362838e-07,5.534699189845347e-07,5.53464693704029e-07,5.534647771060494e-07,5.534755071820717e-07,5.534721692554659e-07,5.534715893032242e-07,5.534702927172756e-07,5.534706530758014e-07,5.534711563489471e-07,0.18305462009979664,5.534698264996588e-07,0.13119604534244997,5.534829151032123e-07,5.534719951469938e-07,5.534772409799701e-07,5.534684587353047e-07,5.534752924305919e-07,0.007085629004347396,5.534650631857332e-07,2.812268288746658e-06,5.534823393711849e-07,5.534668213298586e-07,5.53463072550952e-07,5.534693880237483e-07,5.53462855324299e-07,5.534625184558343e-07,5.5346702953331e-07,5.675527279920183e-07,5.534727288960138e-07,5.534657818343361e-07,5.534691561726725e-07,5.535470936800928e-07,5.534786580969822e-07,5.534687682499536e-07,5.535276016500839e-07,5.534764594990038e-07,5.534778482297573e-07,5.534801052968569e-07,5.534640137833434e-07,5.534737723057903e-07
4,TCGA-44-8117-01A-11R-2241-07,5.75493495542776e-07,1.5915485733166565e-05,5.754947573601601e-07,0.5916275598079925,5.754997939426345e-07,5.75494460608752e-07,5.755137182454793e-07,5.754895545860073e-07,5.754903361875116e-07,5.755021124156656e-07,0.005306062582303307,5.754864732567548e-07,5.754888754331036e-07,5.754957968279008e-07,3.229792160224594e-05,0.002196694790071374,5.755129340378631e-07,5.754936930754094e-07,0.09909567235019182,5.755252514915985e-07,5.754907593210963e-07,5.754903360120696e-07,5.755518344960325e-07,5.754905426245122e-07,5.755214112681443e-07,5.754945305797933e-07,5.754893184336695e-07,5.754888027318788e-07,5.755023051809659e-07,5.754966165175262e-07,5.754929376269075e-07,5.754940908139819e-07,5.75493581122328e-07,5.754943335146965e-07,0.0878831363023649,5.754934867291732e-07,0.21172585939501132,5.755061489696992e-07,5.754938823198116e-07,5.754955754369728e-07,5.754914195966223e-07,5.754967287102231e-07,0.002051415988494801,5.754881402438148e-07,3.372306150323726e-05,5.755047217956518e-07,5.754900150605559e-07,5.754858132677721e-07,5.754945207384461e-07,5.754859497244745e-07,5.754872776289525e-07,5.754904384508513e-07,5.849685879668672e-07,5.754968487644452e-07,5.754888332064082e-07,5.754976730749533e-07,5.755993672393169e-07,5.755064382325584e-07,5.754928337483577e-07,5.758964171473205e-07,5.754998319236658e-07,5.75502083790038e-07,5.755025057540985e-07,5.75488334842794e-07,5.754982036398113e-07
5,TCGA-MP-A4TA-01A-21R-A24X-07,7.459711447384528e-06,1.1100790028702383e-06,7.5753909170003e-06,0.27377847222650686,8.037310946028674e-06,7.674090452951444e-06,9.09323465751354e-06,7.154550145403531e-06,7.340842389225258e-06,8.069912248330143e-06,0.00323032032690719,6.87278077733604e-06,7.181597734944938e-06,7.763026241587814e-06,1.4638645983225895e-06,0.00017671139503778023,8.583718324209646e-06,7.5234725237960615e-06,0.28201511188420375,9.574527482277538e-06,7.177543377973574e-06,7.3991128287488e-06,1.4103773289241067e-05,7.534771961869646e-06,9.237270995256008e-06,7.321730024894123e-06,7.012328687177186e-06,6.986442013858405e-06,7.979527480818245e-06,7.966480306991255e-06,7.256613601073912e-06,7.460949397642746e-06,7.440723866890817e-06,7.521769882694317e-06,0.2953703379966479,7.539074103216591e-06,0.14312029736656443,8.563717152991695e-06,7.650969410007269e-06,8.006081655604342e-06,7.340644931166943e-06,7.50203935476009e-06,0.0016250319032896448,7.0225738633001775e-06,1.6537771524282726e-06,8.38224027807742e-06,7.282467052126533e-06,6.741161943767775e-06,7.474304005938776e-06,6.898592910702774e-06,6.85008264236011e-06,7.250509300409178e-06,0.00016110804410823736,7.882866759572454e-06,6.970124108008993e-06,7.5225326144843744e-06,1.5468040731046382e-05,8.410816566468564e-06,7.36634182020677e-06,9.88828340951519e-05,7.802392618915053e-06,8.414255633870791e-06,8.027669914398328e-06,6.984663854866992e-06,7.840934656085362e-06
6,TCGA-86-8669-01A-11R-2403-07,4.3377306220013053e-07,0.007662813156856846,4.337723646229739e-07,0.10298370726965825,4.337759065530681e-07,4.337713607339345e-07,4.337925661813103e-07,4.337669989807758e-07,4.337693906626038e-07,4.33781862265956e-07,0.004035161341464741,4.337657313352234e-07,4.3376767091454403e-07,4.337732747365278e-07,0.016124950910867023,0.0202844681714624,4.3379551249967183e-07,4.337700549381655e-07,0.6836027830663582,4.3380176893858343e-07,4.337702090410978e-07,4.3377000048307554e-07,4.3403542212989727e-07,4.337705697003499e-07,4.33802048742609e-07,4.337734461919062e-07,4.337684781214576e-07,4.337673040757366e-07,4.3378310202467676e-07,4.337725942297293e-07,4.337714682172751e-07,4.3377383481726147e-07,4.337712614178048e-07,4.3377213974516927e-07,0.07297636804991195,4.337723502219303e-07,0.07784109720722554,4.3378437547466556e-07,4.3377217010595115e-07,4.3377300492733304e-07,4.337704733988191e-07,4.337780960877559e-07,0.005206208581301585,4.337663846967779e-07,0.009258576364960943,4.3378112034527815e-07,4.337681970797884e-07,4.3376496502731517e-07,4.337703988892457e-07,4.337649597008701e-07,4.3376533893944416e-07,4.337689285874038e-07,4.4162287557731575e-07,4.3377372151702573e-07,4.337677036140127e-07,4.337715457386343e-07,4.3390273470404643e-07,4.3378276050837723e-07,4.3376947230624173e-07,4.3383073337424703e-07,4.3377880432413067e-07,4.337772082780697e-07,4.3378202768659824e-07,4.3376682709136556e-07,4.337733496066745e-07
7,TCGA-86-8668-01A-11R-2403-07,4.15284520918244e-07,0.013790198601957253,4.1528544686604747e-07,0.2968760682452334,4.152877568879404e-07,4.152828045550371e-07,4.153169341413196e-07,4.1527884174825533e-07,4.152806351008231e-07,4.152932833452276e-07,0.08821997889299814,4.1527733670502467e-07,4.1527949722347665e-07,4.152855312656808e-07,0.012243975966327,0.051823458381124295,4.153088753689357e-07,4.152823476378033e-07,0.16689091868480502,4.153156568080254e-07,4.1528207716596426e-07,4.152833413309526e-07,4.1554900669510153e-07,4.1528409304601614e-07,4.153137110980558e-07,4.152845113483811e-07,4.152797826674744e-07,4.1527892581732153e-07,4.1529517244918303e-07,4.1528469623293876e-07,4.1528260601669796e-07,4.152867094338389e-07,4.1528432309339286e-07,4.152847288854498e-07,0.08047885215949838,4.1528422287117366e-07,0.23922495331711027,4.15299627470573e-07,4.152864576868431e-07,4.1528486270362546e-07,4.152822156633958e-07,4.1529751662951887e-07,0.03840846321971807,4.1527786470525687e-07,0.012020282650457011,4.1529391360380263e-07,4.152794950730716e-07,4.15276145821279e-07,4.1528241729718704e-07,4.1527595300486476e-07,4.1527667809266214e-07,4.152803443133818e-07,4.2394858061682974e-07,4.1528448454606156e-07,4.152794626619114e-07,4.1528331553951727e-07,4.1540934538359617e-07,4.152948015759723e-07,4.152808531013855e-07,4.153477480409611e-07,4.1529255810819736e-07,4.1528986592846214e-07,4.152959495783964e-07,4.1527793824091293e-07,4.152849990758366e-07
8,TCGA-44-A4SS-01A-11R-A24X-07,4.0553284711842787e-07,7.007733702022327e-07,4.0553350998511396e-07,0.35800092400053835,4.055365032392079e-07,4.055336727192605e-07,4.0567110216550296e-07,4.05529864708831e-07,4.055300486015012e-07,4.0553796754006625e-07,0.004184198092593169,4.0552689174804085e-07,4.0553053035984307e-07,4.0553494456297975e-07,1.0417203643461892e-06,0.0001318982884444878,4.0554332910140607e-07,4.055339334907194e-07,0.098047976147595,4.055528175053644e-07,4.055301430405748e-07,4.055307018124481e-07,4.0548138793549607e-07,4.055454039563754e-07,4.055513709312392e-07,4.055312826573684e-07,4.0552873282251797e-07,4.0552832797785647e-07,4.0553753596047175e-07,4.055350272682025e-07,4.0553216874917606e-07,4.0553245105595405e-07,4.055331125904012e-07,4.0553314409984515e-07,0.34031957776470534,4.055330846648926e-07,0.19722831333336063,4.0554156223326723e-07,4.055332225757264e-07,4.0553871033303816e-07,4.055311328089198e-07,4.0553372165911816e-07,0.0020619013249077943,4.055286847494514e-07,1.1647350423432555e-06,4.055416601731971e-07,4.055307686259752e-07,4.055262656787114e-07,4.0553164690496555e-07,4.055262104919468e-07,4.055265796419844e-07,4.0553046571979134e-07,4.0527134562909506e-07,4.0553536879471013e-07,4.055287250717921e-07,4.0552806368733263e-07,4.055803815626582e-07,4.0553982969855684e-07,4.055283446841146e-07,4.051138794178304e-07,4.0553667276748445e-07,4.055408948608912e-07,4.0553947305646804e-07,4.055268597739117e-07,4.055367694901288e-07
9,TCGA-55-7227-01A-11R-2039-07,3.849951287790343e-07,2.0221493628043e-05,3.849962510161245e-07,0.30538549161191875,3.8499914138750384e-07,3.8499614428160924e-07,3.850149492480452e-07,3.849927991466075e-07,3.8499364961984363e-07,3.850015035372745e-07,0.005062911271134226,3.849909483015153e-07,3.8499248895797053e-07,3.8499696862235114e-07,3.389026156081423e-05,0.0025995598196134066,3.8500841385319404e-07,3.8499557927317704e-07,0.09403643318651414,3.850157930293028e-07,3.8499347379141465e-07,3.849935878631929e-07,3.8500660517730236e-07,3.849950172360297e-07,3.850130637871032e-07,3.84995138349701e-07,3.8499278255409813e-07,3.849923444290376e-07,3.8500191483898076e-07,3.849970147636277e-07,3.8499431495399763e-07,3.849958713182416e-07,3.8499601445492166e-07,3.84996110821878e-07,0.10331634573662947,3.849955494969375e-07,0.48345091026501996,3.850041421921026e-07,3.84995839850836e-07,3.849972056776357e-07,3.8499452483702987e-07,3.8499816787958473e-07,0.006033422880019944,3.849918679997579e-07,3.9632387691623206e-05,3.850038161446789e-07,3.849934068227968e-07,3.84990045302315e-07,3.849952145998221e-07,3.849901756409898e-07,3.849910206547521e-07,3.8499367457195433e-07,3.9123118173273955e-07,3.849976472236805e-07,3.849922435683055e-07,3.849950066789236e-07,3.8505625390773275e-07,3.850033878377399e-07,3.849930901864522e-07,3.849361035548378e-07,3.8500050525138747e-07,3.850016975879521e-07,3.8500234955671936e-07,3.849914233698395e-07,3.849977141561493e-07
